Provinsi,Tahun,Jumlah_Air_Bersih,Kapasitas_Produksi_Potensial_Perusahaan_Air_Bersih,Kapasitas_Produksi_Efektif,Efektifitas_Produksi_Air_Bersih_Perusahaan_Air_Bersih,Jumlah_Pekerja_Perusahaan_Air_Bersih,Jumlah_Pekerja_Teknis_Perusahaan_Air_Bersih_Yang_Berpendidikan_Tingkat_SLTA,Jumlah_Pekerja_Teknis_Perusahaan_Air_Bersih_Yang_Berpendidikan_Diatas_SLTA,Jumlah_Pekerja_Non_Teknis_Perusahaan_Air_Bersih,Jumlah_Pekerja_Non_Teknis_Perusahaan_Air_Bersih_Yang_Berpendidikan_Sampai_Dengan_Tingkat_SLTA,Jumlah_Pekerja_Non_Teknis_Perusahaan_Air_Bersih_Yang_Berpendidikan_Diatas_Tingkat_SLTA,Balas_Jasa_Karyawan_Perusahaan_Air_Bersih,Biaya_Bahan_Bakar_dan_Pelumas_yang_Digunakan_Perusahaan_Air_Bersih,Biaya_Listrik_Perusahaan_Air_Bersih,Biaya_Bahan-Bahan_Kimia_Perusahaan_Air_Bersih,Biaya_Penggunaan_Alat_Tulis_dan_Keperluan_Kantor_Perusahaan_Air_Bersih,Biaya_Penggunaan_Suku_Cadang_dan_Pemeliharaan_Kecil_Barang_Modal_Perusahaan_Air_Bersih,Biaya_Sewa_Bangunan_Mesin_Alat-alat_dan_Kendaraan_Perusahaan_Air_Bersih,Biaya_Jasa_jasa_Pengeluaran_Lainnya_Perusahaan_Air_Bersih,Biaya_Operasional_Perusahaan_Air_Bersih ,Jumlah_Pelanggan_Perusahaan_Air_Bersih ,Jumlah_Pelanggan_Kelompok_Sosial_Perusahaan_Air_Bersih,Jumlah_Pelanggan_Kelompok_Non_Niaga_Perusahaan_Air_Bersih ,Jumlah_Pelanggan_Kelompok_Niaga_dan_Industri_Perusahaan_Air_Bersih,Jumlah_Pelanggan_Kelompok_Khusus_dan_Pelanggan_Lainnya,Volume_Air_Bersih_yang_Disalurkan_Perusahaan_Air_Bersih,Volume_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Sosial,Volume_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Non_Niaga_Perusahaan_Air_Bersih,Volume_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Niaga_dan_Industri_Perusahaan_Air_Bersih,Volume_Air_Bersih_Yang_Disalurkan_ke_Pelanggan_Khusus_dan_Pelanggan_Lainnya_Perusahaan_Air_Bersih,"Nilai_Air_Bersih_Yang_Disalurkan_Perusahaan_Air_Bersih                                               
",Nilai_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Sosial ,Nilai_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Non_Niaga ,Nilai_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Niaga_dan_Industri ,Nilai_Air_Bersih_yang_Disalurkan_ke_Pelanggan_Khusus_dan_Pelangan_Lainnya ,Nilai_Pendapatan_dari_Kegiatan_Lain_Perusahaan_Air_Bersih 
Aceh,2019,18,4.434,3.489,"78,69",1.186,485,122,579,390,189,73.390,1.161,"23,684","8,77","1,362","1,002",301,"3,915","22,018","221,941","2,23","195,318","23,6",793,"47,756","1,132","35,127","3,38",1.239,"152,839","2,737","128,424","17,869","3,808",23.891
Sumatera Utara,2019,42,12.896,11.484,"89,05",4.104,1.264,369,2.471,1.741,730,256.961,5.610,"122,434","45,74","17,941","7,58","2,245","29,314","130,42","866,146","11,178","770,176","84,497",295,"252,098","12,172","203,608","31,473",764,"936,629","14,464","716,765","198,559","6,841",95.056
Sumatera Barat,2019,18,6.012,4.272,"71,06",1.425,661,146,618,368,250,104.957,4.853,"12,057","8,039","1,629","2,501","4,453","5,913","92,867","570,259","4,208","529,761","35,935",355,"101,036","2,808","66,135","9,063",748,"309,177","4,554","248,85","52,127","3,646",40.523
Riau,2019,26,2.462,1.592,"64,66",978,527,90,361,194,167,35.424,10.267,"8,878","13,108",233,639,99,"3,273","7,013","91,389",938,"79,047","10,297","1,107","20,71",311,"14,476","2,29",238,"76,836",941,"57,985","16,797","1,112",7.506
Jambi,2019,11,4.542,3.418,"75,25",1.421,646,175,600,378,222,79.827,2.479,"43,859","11,202","1,211",693,182,"1,875","5,755","943,591","5,615","925,147","12,789",40,"40,393","1,169","32,768","3,486",160,"165,555","3,822","136,726","23,936","1,072",10.926
Sumatera Selatan,2019,19,10.765,8.805,"81,79",2.418,1.132,347,939,620,319,197.674,2.327,"48,25","30,363","9,287","12,057",198,"14,069","73,744","873,312","9,149","814,085","47,554","2,524","153,784","3,967","125,111","19,36",322,"628,045","9,141","472,718","143,742","2,444",70.395
Bengkulu,2019,9,2.067,1.606,"77,70",559,244,47,268,166,102,36.451,930,"12,97","2,987",565,331,340,"7,171","3,985","91,641","1,247","86,648","3,743",3,"25,69",540,"16,908",902,35,"80,143","1,217","71,566","6,308","1,053",9.988
Lampung,2019,43,1.793,1.219,"67,99",596,280,72,244,176,68,30.821,662,"3,693","2,094",264,332,88,"5,238","27,689","86,405","1,384","80,224","4,484",313,"18,181",494,"14,566","1,482",186,"73,3","1,466","60,131","9,7","2,003",3.147
Kepulauan Bangka Belitung,2019,7,985,764,"77,56",327,102,32,193,127,66,19.103,494,"7,998","1,605",881,969,349,"1,866","9,367","30,508",429,"29,164",908,7,"8,377",98,"7,014",261,44,"43,828",440,"39,91","3,276",203,5.214
Kepulauan Riau,2019,14,4.955,4.564,"92,11",882,329,82,471,261,210,113.407,2.852,"74,891","26,498","1,557","3,125","7,02","14,347","43,275","327,946","2,759","280,365","44,762",60,"116,252","3,68","68,355","23,893",2.294,"595,724","7,825","308,036","271,193","8,671",76.585
DKI Jakarta,2019,8,18.108,17.470,"96,48",2.198,990,566,642,196,446,555.054,3.732,"157,258","46,008","6,399","6,216","30,349","290,606","621,898","885,353","6,595","749,863","128,886",9,"511,855","7,633","237,038","124,272",3.246,3.090.613,"11,375",1.592.767,1.443.509,"42,963",322.490
