provinsi,tahun,air_bersih,kapasitas_potensial,kapasitas_efektif,efektivitas_produksi,jml_pekerja,pekerja_teknis_slta,pekerja_teknis_diploma,pekerja_non_teknis,non_teknis_slta,non_teknis_diploma,balas_jasa,biaya_bahan_bakar,biaya_listrik,biaya_kimia,biaya_atk,biaya_suku_cadang,biaya_sewa,biaya_jasa_lain,Biaya_Operasional_Perusahaan_Air_Bersih ,Jumlah_Pelanggan_Perusahaan_Air_Bersih ,pelanggan_sosial,Jumlah_Pelanggan_Kelompok_Non_Niaga_Perusahaan_Air_Bersih ,pelanggan_niaga,pelanggan_khusus,volume_total,volume_sosial,volume_non_niaga,volume_niaga,volume_khusus,"Nilai_Air_Bersih_Yang_Disalurkan_Perusahaan_Air_Bersih                                               
",Nilai_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Sosial ,Nilai_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Non_Niaga ,Nilai_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Niaga_dan_Industri ,Nilai_Air_Bersih_yang_Disalurkan_ke_Pelanggan_Khusus_dan_Pelangan_Lainnya ,Nilai_Pendapatan_dari_Kegiatan_Lain_Perusahaan_Air_Bersih 
,2019-01-01 00:00:00+00:00,18.0,4.434,3.489,78.69,1.186,485.0,122.0,579.0,390.0,189.0,73.39,1.161,23.684,8.77,1.362,1.002,301.0,3.915,22.018,221.941,2.23,195.318,23.6,793.0,47.756,1.132,35.127,3.38,1.239,152.839,2.737,128.424,17.869,3.808,23.891
,2019-01-01 00:00:00+00:00,42.0,12.896,11.484,89.05,4.104,1.264,369.0,2.471,1.741,730.0,256.961,5.61,122.434,45.74,17.941,7.58,2.245,29.314,130.42,866.146,11.178,770.176,84.497,295.0,252.098,12.172,203.608,31.473,764.0,936.629,14.464,716.765,198.559,6.841,95.056
,2019-01-01 00:00:00+00:00,18.0,6.012,4.272,71.06,1.425,661.0,146.0,618.0,368.0,250.0,104.957,4.853,12.057,8.039,1.629,2.501,4.453,5.913,92.867,570.259,4.208,529.761,35.935,355.0,101.036,2.808,66.135,9.063,748.0,309.177,4.554,248.85,52.127,3.646,40.523
,2019-01-01 00:00:00+00:00,26.0,2.462,1.592,64.66,978.0,527.0,90.0,361.0,194.0,167.0,35.424,10.267,8.878,13.108,233.0,639.0,99.0,3.273,7.013,91.389,938.0,79.047,10.297,1.107,20.71,311.0,14.476,2.29,238.0,76.836,941.0,57.985,16.797,1.112,7.506
,2019-01-01 00:00:00+00:00,11.0,4.542,3.418,75.25,1.421,646.0,175.0,600.0,378.0,222.0,79.827,2.479,43.859,11.202,1.211,693.0,182.0,1.875,5.755,943.591,5.615,925.147,12.789,40.0,40.393,1.169,32.768,3.486,160.0,165.555,3.822,136.726,23.936,1.072,10.926
,2019-01-01 00:00:00+00:00,19.0,10.765,8.805,81.79,2.418,1.132,347.0,939.0,620.0,319.0,197.674,2.327,48.25,30.363,9.287,12.057,198.0,14.069,73.744,873.312,9.149,814.085,47.554,2.524,153.784,3.967,125.111,19.36,322.0,628.045,9.141,472.718,143.742,2.444,70.395
,2019-01-01 00:00:00+00:00,9.0,2.067,1.606,77.7,559.0,244.0,47.0,268.0,166.0,102.0,36.451,930.0,12.97,2.987,565.0,331.0,340.0,7.171,3.985,91.641,1.247,86.648,3.743,3.0,25.69,540.0,16.908,902.0,35.0,80.143,1.217,71.566,6.308,1.053,9.988
,2019-01-01 00:00:00+00:00,43.0,1.793,1.219,67.99,596.0,280.0,72.0,244.0,176.0,68.0,30.821,662.0,3.693,2.094,264.0,332.0,88.0,5.238,27.689,86.405,1.384,80.224,4.484,313.0,18.181,494.0,14.566,1.482,186.0,73.3,1.466,60.131,9.7,2.003,3.147
,2019-01-01 00:00:00+00:00,7.0,985.0,764.0,77.56,327.0,102.0,32.0,193.0,127.0,66.0,19.103,494.0,7.998,1.605,881.0,969.0,349.0,1.866,9.367,30.508,429.0,29.164,908.0,7.0,8.377,98.0,7.014,261.0,44.0,43.828,440.0,39.91,3.276,203.0,5.214
,2019-01-01 00:00:00+00:00,14.0,4.955,4.564,92.11,882.0,329.0,82.0,471.0,261.0,210.0,113.407,2.852,74.891,26.498,1.557,3.125,7.02,14.347,43.275,327.946,2.759,280.365,44.762,60.0,116.252,3.68,68.355,23.893,2.294,595.724,7.825,308.036,271.193,8.671,76.585
,2019-01-01 00:00:00+00:00,8.0,18.108,17.47,96.48,2.198,990.0,566.0,642.0,196.0,446.0,555.054,3.732,157.258,46.008,6.399,6.216,30.349,290.606,621.898,885.353,6.595,749.863,128.886,9.0,511.855,7.633,237.038,124.272,3.246,3.090.613,11.375,1.592.767,1.443.509,42.963,322.49
,2019-01-01 00:00:00+00:00,22.0,21.975,18.634,84.8,7.67,2.512,855.0,4.303,2.875,1.428,755.111,5.698,135.424,95.622,24.743,12.967,10.032,84.522,442.016,1.831.042,26.316,1.714.975,87.84,1.911,384.202,8.923,275.431,27.735,18.796,1.988.278,24.229,1.578.300,295.126,90.623,196.763
,2019-01-01 00:00:00+00:00,42.0,31.019,25.119,80.98,6.425,2.605,739.0,3.081,1.711,1.37,558.468,9.671,103.528,48.755,19.621,14.23,9.814,156.784,365.684,1.765.894,27.005,1.659.138,70.722,9.029,451.564,12.547,342.072,24.013,7.802,1.638.674,29.771,1.355.175,192.386,61.341,351.449
.,2019-01-01 00:00:00+00:00,6.0,2.607,2.206,84.62,805.0,425.0,89.0,291.0,178.0,113.0,63.248,1.534,45.26,5.498,1.324,912.0,872.0,3.872,36.005,180.598,3.439,173.507,2.711,941.0,41.421,1.141,32.017,1.699,398.0,189.735,3.929,164.214,18.331,3.261,16.188
,2019-01-01 00:00:00+00:00,38.0,30.467,26.72,87.7,6.672,2.556,594.0,3.522,2.44,1.082,563.192,13.014,328.256,57.752,5.993,10.508,9.484,78.771,404.022,2.132.347,31.16,1.982.187,113.728,5.272,731.229,18.155,446.505,71.48,15.013,2.084.035,31.524,1.439.055,550.183,63.273,325.229
,2019-01-01 00:00:00+00:00,8.0,9.864,8.275,83.89,1.279,329.0,185.0,765.0,360.0,405.0,167.476,1.325,69.21,22.115,2.658,4.47,32.158,138.216,313.849,311.318,3.067,294.075,13.885,291.0,225.86,1.906,62.482,46.788,114.497,1.171.980,4.309,298.379,463.858,405.433,61.208
,2019-01-01 00:00:00+00:00,20.0,9.854,8.782,89.12,2.382,1.07,122.0,1.19,930.0,260.0,229.715,3.527,114.849,26.631,3.161,5.165,1.457,10.448,169.268,470.621,8.816,415.497,45.942,366.0,152.415,3.354,93.809,19.329,1.756,697.634,9.678,449.123,211.8,27.033,95.213
,2019-01-01 00:00:00+00:00,8.0,3.918,3.05,77.85,1.218,530.0,106.0,582.0,404.0,178.0,79.966,1.615,7.23,4.959,810.0,1.319,2.983,11.033,17.965,547.391,12.232,522.764,11.645,750.0,82.44,2.108,53.671,2.511,525.0,195.335,4.81,167.784,19.352,3.389,29.454
,2019-01-01 00:00:00+00:00,16.0,3.862,1.78,46.09,1.136,617.0,97.0,422.0,300.0,122.0,83.272,2.862,13.87,450.0,946.0,1.93,257.0,3.02,20.672,154.992,1.692,147.537,5.561,202.0,34.586,771.0,26.439,1.889,281.0,134.23,2.508,114.665,12.695,4.362,23.729
,2019-01-01 00:00:00+00:00,28.0,4.642,3.471,74.77,1.027,386.0,159.0,482.0,328.0,154.0,94.204,3.617,40.017,16.813,1.093,3.232,1.268,10.816,29.964,241.233,2.789,213.579,24.244,621.0,66.686,2.066,52.724,8.854,508.0,274.265,4.203,207.826,60.707,1.529,35.807
,2019-01-01 00:00:00+00:00,14.0,2.56,1.948,76.09,1.079,480.0,93.0,506.0,328.0,178.0,80.029,5.027,21.199,14.608,860.0,2.359,104.0,3.547,35.618,150.819,1.764,139.306,9.245,504.0,39.983,918.0,30.255,2.635,215.0,165.648,3.237,142.544,18.848,1.02,14.987
,2019-01-01 00:00:00+00:00,12.0,7.497,5.343,71.27,1.594,598.0,311.0,685.0,409.0,276.0,208.682,4.676,68.577,30.777,1.723,8.187,3.137,18.938,119.632,469.378,8.931,425.457,33.594,1.396,112.036,4.008,85.172,11.813,1.378,598.136,13.146,474.325,108.097,2.569,81.905
,2019-01-01 00:00:00+00:00,9.0,8.018,7.201,89.81,2.377,770.0,400.0,1.207,833.0,374.0,258.491,10.907,133.179,78.446,4.465,6.998,6.834,34.789,132.435,464.138,5.685,427.981,29.85,622.0,186.859,3.856,119.061,14.41,576.0,861.454,12.059,706.988,134.137,8.271,73.804
